===== 工作表：河南省各县土壤情况 =====
所属地区	县/市名称	土壤pH值范围	主要土壤类型	土壤酸碱性
豫南地区	潢川县	5.67-6.18	黄棕壤、水稻土	微酸性
豫南地区	光山县	5.0-6.0	黄棕壤、水稻土	微酸性
豫南地区	信阳市	5.17左右	黄棕壤、水稻土	酸性
豫南地区	驻马店市	5.91左右	黄褐土、砂姜黑土	微酸性
豫南地区	遂平县	5.59-7.77	黄褐土	微酸性-中性
豫南地区	西平县	5.58-6.70	黄褐土	微酸性
豫南地区	桐柏县	5.5-7.0	黄褐土、粗骨土	微酸性-中性
豫南地区	泌阳县	5.5-7.0	黄褐土、粗骨土	微酸性-中性
豫西南地区	南阳市	6.0-7.5	黄褐土、潮土	微酸性-中性
豫西南地区	西峡县	6.0-7.5	黄棕壤、紫色土	微酸性-中性
豫西南地区	内乡县	6.5-8.0	黄棕壤、褐土	中性-微碱性
豫北地区	滑县	7.5-8.5	潮土	微碱性
豫北地区	焦作市	7.8-8.3	潮土、褐土	微碱性
豫北地区	新乡市	7.5-8.5	潮土、褐土	微碱性
豫北地区	安阳市	7.9-8.5	潮土、褐土	微碱性
豫北地区	濮阳市	7.5-8.5	潮土	微碱性
豫北地区	鹤壁市	7.5-8.5	潮土、褐土	微碱性
豫东地区	睢县	7.5-8.5	潮土	微碱性
